example_id                            | status | run_time        |
------------------------------------- | ------ | --------------- |
./spec/chobble_forms_spec.rb[1:1]     | passed | 0.00039 seconds |
./spec/chobble_forms_spec.rb[1:2]     | passed | 0.00007 seconds |
./spec/chobble_forms_spec.rb[1:3]     | passed | 0.00032 seconds |
./spec/chobble_forms_spec.rb[1:4:1:1] | passed | 0.00013 seconds |
./spec/chobble_forms_spec.rb[1:4:1:2] | passed | 0.00014 seconds |
./spec/chobble_forms_spec.rb[1:4:1:3] | passed | 0.00013 seconds |
./spec/chobble_forms_spec.rb[1:4:2:1] | passed | 0.00011 seconds |
./spec/chobble_forms_spec.rb[1:4:2:2] | passed | 0.00012 seconds |
./spec/chobble_forms_spec.rb[1:4:2:3] | passed | 0.00014 seconds |
./spec/unit/helpers_spec.rb[1:1:1:1]  | passed | 0.00043 seconds |
./spec/unit/helpers_spec.rb[1:1:1:2]  | passed | 0.00067 seconds |
./spec/unit/helpers_spec.rb[1:1:1:3]  | passed | 0.00047 seconds |
./spec/unit/helpers_spec.rb[1:1:2:1]  | passed | 0.00016 seconds |
./spec/unit/helpers_spec.rb[1:1:3:1]  | passed | 0.00021 seconds |
./spec/unit/helpers_spec.rb[1:1:4:1]  | passed | 0.00065 seconds |
./spec/unit/helpers_spec.rb[1:1:5:1]  | passed | 0.00023 seconds |
./spec/unit/helpers_spec.rb[1:1:6:1]  | passed | 0.00055 seconds |
./spec/unit/helpers_spec.rb[1:1:6:2]  | passed | 0.00117 seconds |
./spec/unit/helpers_spec.rb[1:1:7:1]  | passed | 0.00157 seconds |
./spec/unit/helpers_spec.rb[1:1:8:1]  | passed | 0.00016 seconds |
./spec/unit/helpers_spec.rb[1:1:9:1]  | passed | 0.00444 seconds |
./spec/unit/helpers_spec.rb[1:1:10:1] | passed | 0.00047 seconds |
./spec/unit/helpers_spec.rb[1:1:11:1] | passed | 0.0002 seconds  |
./spec/unit/helpers_spec.rb[1:1:12:1] | passed | 0.00015 seconds |
